Time,Distance,Pace,Average Cadence,Average Heart Rate,Max Heart Rate,Relative Effort,Calories
2310,4.99,7.43,78,145,156,17,426
1246,3.04,6.5,79,142,169,7,229
2599,7.1,6.06,81,156,166,53,548
3681,10.02,6.07,81,152,162,61,713
2829,7.64,6.1,81,148,183,28,528
4046,11.19,6.02,81,158,180,91,842
2068,6.32,5.27,82,166,191,65,519
1943,5.89,5.3,82,164,183,54,473
3099,8.66,5.58,83,164,188,89,739
1802,5.76,5.13,82,168,182,57,466
1663,6.12,4.32,85,186,194,104,522
2414,7.06,5.42,82,157,186,52,521
4002,11.41,5.51,81,156,181,76,807
4008,11.91,5.37,83,163,185,104,925
2985,10.11,4.55,85,178,186,136,873
4313,12.63,5.41,83,173,184,162,1180
4576,13.85,5.3,82,158,172,105,983
7632,21.1,6.02,81,159,169,184,1613
2789,8.46,5.3,84,165,194,80,697
4807,15.42,5.12,83,187,193,298,1519
2138,6.41,5.34,80,160,170,59,532
2967,9.07,5.27,83,163,178,89,753
3106,8.72,5.56,81,156,168,74,722
4360,10.55,6.53,82,150,180,81,883
2680,8.08,5.32,82,160,173,75,658
3024,9.05,5.34,83,163,196,90,782
3744,11.0,5.4,83,158,169,97,835
3203,10.25,5.12,84,170,196,127,890
2649,8.1,5.27,83,161,169,76,638
2335,7.12,5.28,83,162,170,67,585
3506,10.81,5.24,83,169,192,135,925
4328,12.15,5.56,82,158,198,113,978
1987,6.21,5.2,83,171,189,82,561
2375,7.74,5.07,83,170,190,94,659
2437,7.9,5.08,82,175,194,119,729
2250,7.19,5.13,84,179,192,121,703
2632,7.95,5.31,82,168,198,97,716
2361,7.43,5.18,80,166,184,85,631
7951,18.46,7.11,76,181,197,484,2431
2692,8.07,5.34,81,160,168,77,639
1622,5.67,4.46,84,181,192,96,527
2349,7.38,5.18,84,160,172,65,570
1883,5.74,5.28,83,174,182,89,546
2079,6.26,5.32,81,174,181,101,600
2331,7.08,5.29,81,167,185,83,626
2521,7.09,5.56,81,156,211,61,574
3413,9.22,6.1,81,161,179,100,813
3287,9.73,5.38,81,169,194,130,900
2920,9.01,5.24,82,169,192,117,812
2458,7.32,5.36,82,165,173,79,633
3440,10.03,5.43,81,169,188,134,918
2511,6.35,6.35,80,157,166,66,576
1971,6.12,5.22,83,180,190,114,623
2970,8.2,6.02,82,164,172,93,745
3575,11.1,5.22,82,176,186,182,1058
845,2.21,6.22,80,158,163,21,275
4050,11.54,5.51,83,166,174,133,1027
2535,7.8,5.25,83,175,194,122,759
4090,11.4,5.59,82,160,176,115,952
2783,7.0,6.38,81,148,156,38,548
4364,12.3,5.55,83,158,166,114,983
2669,7.49,5.56,82,159,166,71,623
2604,7.88,5.3,82,172,191,112,750
2014,5.92,5.4,82,169,201,75,551
4756,13.31,5.57,82,157,187,122,1047
2776,7.89,5.52,81,160,173,80,660
2809,8.11,5.46,82,159,178,77,656
2597,8.09,5.21,83,170,191,105,729
2971,8.04,6.01,81,155,163,69,642
2601,6.92,6.16,81,160,198,72,615
3010,8.2,6.07,81,157,169,80,696
3311,8.19,6.44,80,145,176,35,640
2705,7.6,5.56,82,159,209,73,660
2984,8.08,6.09,81,155,165,73,681
2551,6.34,6.42,79,137,174,12,443
2527,6.86,6.08,81,157,200,61,611
3181,8.02,6.37,80,149,167,55,660
3088,7.81,6.35,80,160,188,90,752
4185,9.41,7.25,79,142,168,35,869
4672,11.5,6.46,79,151,186,88,963
3967,9.0,7.21,78,140,162,19,700
3963,11.03,5.59,81,154,167,87,868
4641,11.54,6.42,79,147,155,54,904
3480,8.3,6.59,79,139,186,21,622
4523,10.82,6.58,79,142,156,31,827
4100,11.75,5.49,80,158,206,98,924
3852,9.24,6.57,79,140,179,24,668
3284,9.46,5.47,82,160,186,84,803
5356,12.95,6.54,79,145,174,52,1005
4482,12.75,5.52,81,152,189,82,953
2597,7.63,5.4,81,158,208,63,643
5102,12.65,6.43,79,149,221,75,1002
3469,9.43,6.08,81,165,203,107,883
3635,8.63,7.01,78,144,169,32,688
2734,7.27,6.16,80,150,181,44,559
3177,9.43,5.37,80,165,190,100,847
3456,10.5,5.29,81,170,190,131,967
580,1.6,6.03,80,153,187,12,153
545,1.6,5.41,81,155,208,12,88
580,1.63,5.56,81,150,204,10,134
603,1.68,5.59,81,152,213,11,143
1859,5.21,5.57,81,167,176,62,513
543,1.64,5.31,82,151,191,8,125
2426,6.46,6.16,80,152,191,45,524
3701,9.96,6.12,80,156,185,85,840
2319,7.45,5.11,83,168,191,82,642
2256,5.49,6.51,79,143,153,18,441
3012,7.48,6.43,79,152,178,53,689
2847,8.18,5.48,81,163,204,84,736
2032,5.28,6.25,80,153,171,40,444
7330,20.41,5.59,81,163,194,221,1780
3453,9.59,6.0,81,157,188,85,797
3747,10.32,6.03,81,159,173,96,879
3003,10.5,4.46,85,185,191,192,984
2405,6.99,5.44,83,161,172,67,604
2744,8.3,5.31,82,167,189,97,742
2311,7.53,5.07,82,172,189,101,678
3806,10.83,5.51,82,166,194,122,1005
4323,13.49,5.2,84,175,188,207,1250
3261,10.68,5.05,82,174,190,149,943
3070,7.63,6.42,79,146,164,32,604
7876,19.67,6.4,79,176,205,372,2233
3319,7.82,7.04,79,140,147,15,587
3572,10.19,5.51,82,155,178,83,793
2063,5.83,5.54,80,152,168,37,460
2023,7.16,4.43,85,178,187,107,614
6834,21.21,5.22,84,167,182,230,1715
2276,8.07,4.42,85,177,193,116,689
2625,7.67,5.42,82,161,202,73,642
3120,7.72,6.44,80,135,146,13,525
1305,4.96,4.23,86,185,194,81,451
3716,11.08,5.35,85,157,176,90,921
3163,9.89,5.2,85,169,189,116,855
2421,7.67,5.16,83,164,186,77,623
2615,7.63,5.43,81,154,183,56,573
3062,9.95,5.08,84,172,199,122,875
3109,8.64,5.6,82,154,162,68,671
2647,7.7,5.44,82,156,166,61,597
2551,8.32,5.07,84,173,195,112,734
3998,12.38,5.23,81,149,157,60,827
3486,7.61,7.38,72,125,149,13,483
3814,12.11,5.15,83,162,178,112,932
3306,10.37,5.19,83,153,165,62,706
2901,10.01,4.5,83,168,204,105,779
3172,10.02,5.17,83,151,164,54,683
3357,10.67,5.15,83,151,165,60,713
318,1.12,4.44,83,168,179,11,89
1274,4.98,4.16,86,186,194,82,429
795,2.27,5.5,82,162,168,23,204
4364,14.22,5.07,83,163,171,128,1053
2983,9.66,5.09,82,155,166,67,660
600,1.92,5.12,82,154,162,12,139
2581,8.4,5.07,83,167,188,93,662
3370,10.76,5.13,82,148,167,45,703
2710,8.41,5.22,82,154,167,59,602
1746,5.56,5.14,82,160,179,47,433
2963,8.44,5.51,81,142,153,18,561
3380,10.21,5.31,81,147,156,37,671
1450,4.56,5.18,82,152,159,26,326
362,0.89,6.47,81,150,157,5,81
531,1.09,8.07,77,169,181,19,176
2734,8.38,5.26,81,151,180,42,585
797,2.45,5.25,82,161,179,22,214
1217,4.93,4.07,87,186,194,76,423
709,2.17,5.27,83,160,175,19,189
5129,14.88,5.45,82,151,173,80,1152
2919,9.06,5.22,81,149,158,41,601
2369,6.33,6.14,80,145,155,23,474
2030,6.07,5.34,81,150,159,33,447
2649,8.31,5.19,81,160,178,71,646
2778,7.5,6.1,80,152,161,54,600
2662,8.08,5.29,83,164,178,81,676
3638,11.0,5.31,82,166,181,118,953
1365,4.94,4.36,83,183,202,77,460
824,2.12,6.29,80,166,187,26,230
2373,5.41,7.19,75,138,204,23,714
2929,8.39,5.49,80,154,165,63,641
2837,8.95,5.17,82,162,182,80,750
2863,9.0,5.18,81,171,180,112,785
3208,9.01,5.56,80,151,169,58,681
1350,5.01,4.29,84,183,199,77,447
3979,14.05,4.43,85,188,195,265,1327
5784,16.03,6.01,82,160,192,158,1369
2890,8.2,5.52,82,151,164,46,622
2172,6.38,5.4,81,155,166,48,487
3169,9.5,5.34,81,157,173,78,715
3125,9.45,5.31,82,157,170,76,708
3606,10.52,5.43,82,149,166,50,729
2737,8.2,5.34,82,150,162,43,576
3159,9.53,5.31,81,157,170,76,707
3371,10.4,5.24,82,154,167,68,723
2922,8.94,5.27,83,148,167,38,592
3326,9.9,5.36,83,165,172,104,826
2568,8.12,5.16,82,164,191,81,657
3043,8.79,5.46,82,146,153,31,588
3638,10.42,5.49,81,145,156,34,695
3783,11.82,5.2,83,156,181,80,852
